trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.951}",20,0,-19.07151255701483,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9019999999999999}",20,0,-42.4718143734854,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8529999999999999}",30,0,-212.27393982974021,"{0: 18, 1: 4, 2: 3, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.8039999999999998}",30,0,-262.91265528192514,"{0: 14, 1: 5, 2: 4, 3: 3, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.7549999999999998}",25,0,-96.25796769571178,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.7059999999999997}",20,0,-70.23957769459774,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6569999999999997}",20,0,-79.30865528449087,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.6079999999999997}",30,0,-48.842275552624265,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5589999999999996}",20,7,-99.77486486295263,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 2}",1
10,False,"{'a': 0.5, 'e': 0.5099999999999996}",25,0,-73.49992114674997,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4609999999999996}",30,0,-66.74498527505511,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.4119999999999996}",20,0,-50.47290309386098,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.3629999999999996}",25,0,-52.15561804831415,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.3139999999999996}",25,10,24.126282654765348,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.2649999999999996}",30,7,-111.99687291006244,"{0: 17, 1: 1, 2: 1, 3: 2, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.21599999999999964}",20,0,-32.401336921067106,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.16699999999999965}",25,7,7.356606907125363,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.11799999999999965}",25,0,-11.085130657576897,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.06899999999999964}",20,11,-11.90004735704722,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.019999999999999643}",20,0,-18.068927600446038,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,18,12.547706059458626,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,0,36.067561800113346,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,13,13.185888708080036,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,28.91560376994836,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,14,22.72696963941194,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",35,0,48.42847902682367,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",35,7,44.91988638124134,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,3,-15.085858169333498,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",20,12,13.020987008636045,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,2,26.11019468187752,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",25,0,43.95861531119116,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,True,"{'a': 0, 'e': 0}",20,0,34.38544846474852,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,True,"{'a': 0, 'e': 0}",20,0,20.84317168361152,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
14,True,"{'a': 0, 'e': 0}",30,4,43.45251103213534,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",25,0,39.51236907900387,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,True,"{'a': 0, 'e': 0}",35,4,28.282648739555533,"{0: 30, 1: 0, 2: 0, 3: 1, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",30,0,6.01448302818274,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
18,True,"{'a': 0, 'e': 0}",20,0,2.279149880533743,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
19,True,"{'a': 0, 'e': 0}",30,9,-10.729387081123669,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,True,"{'a': 0, 'e': 0}",20,0,29.088909945734304,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
