trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,0,-157.71341645664572,"{0: 20, 1: 4, 2: 8, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.95}",30,0,-150.6312910217949,"{0: 15, 1: 0, 2: 13, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9025}",20,0,-122.73726989751924,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.8573749999999999}",25,0,25.847639269430992,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.8145062499999999}",20,0,-82.97434998737135,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.7737809374999998}",25,5,-102.32832291144929,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.7350918906249998}",25,0,-30.355132979261775,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.6983372960937497}",30,0,-179.49837792812994,"{0: 21, 1: 2, 2: 3, 3: 0, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.6634204312890623}",30,7,-110.05401573504967,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 2}",1
10,False,"{'a': 0.5, 'e': 0.6302494097246091}",30,0,-59.9571762075892,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.5987369392383787}",20,0,-86.57856942814537,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.5688000922764597}",25,11,11.418862254969838,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.5403600876626367}",20,4,-0.22753888553564106,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.5133420832795048}",30,2,-31.205449201892407,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.48767497911552954}",20,0,-49.54504943853205,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.46329123015975304}",30,8,-60.97909483066561,"{0: 17, 1: 0, 2: 3, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.44012666865176536}",20,2,-22.96392064120673,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
