trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-35.676810597104705,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.44756970845113,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-152.8833024245489,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.99918961710511,"{0: 15, 1: 0, 2: 2, 3: 3, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-117.24687586230257,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-118.48684999094016,"{0: 14, 1: 0, 2: 9, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,4,-13.884298710113972,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-136.04499422298989,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-200.9524652765305,"{0: 9, 1: 2, 2: 4, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.29540037999746,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.98435241180604,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.45197904859913,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-116.45900289187955,"{0: 19, 1: 5, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,13,-7.8183558584959565,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-179.11544252725918,"{0: 10, 1: 5, 2: 7, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-15.080494466096727,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-158.2176809060244,"{0: 17, 1: 2, 2: 7, 3: 3, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-213.4673110887295,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-103.17165239276808,"{0: 18, 1: 6, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-164.38513107559953,"{0: 9, 1: 0, 2: 9, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,3,-75.37208203924786,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 0}",1
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-85.21340759144957,"{0: 19, 1: 5, 2: 4, 3: 2, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-49.57900232698173,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-150.13569991872146,"{0: 10, 1: 4, 2: 10, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-114.49556357695688,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,11,-61.1690251367472,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 1}",1
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-194.2284206492314,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",35,0,-168.03138447030076,"{0: 21, 1: 5, 2: 6, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-178.5230096548777,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",35,0,-218.27583637194724,"{0: 20, 1: 2, 2: 9, 3: 1, 4: 3}",0
