trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.85, 'e': 1.0}",25,0,-21.13599587608638,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.85, 'e': 0.985}",35,0,-183.5195904229827,"{0: 21, 1: 5, 2: 5, 3: 1, 4: 3}",0
3,False,"{'a': 0.85, 'e': 0.970225}",20,0,-115.44690036627807,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 1}",0
4,False,"{'a': 0.85, 'e': 0.9556716249999999}",30,0,-175.14282532382228,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
5,False,"{'a': 0.85, 'e': 0.941336550625}",20,6,-47.383708947611964,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
6,False,"{'a': 0.85, 'e': 0.9272165023656249}",20,0,-63.5088907254934,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
7,False,"{'a': 0.85, 'e': 0.9133082548301406}",30,0,-95.87283897591854,"{0: 16, 1: 5, 2: 9, 3: 0, 4: 0}",0
8,False,"{'a': 0.85, 'e': 0.8996086310076884}",25,0,-111.08806622962616,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
9,False,"{'a': 0.85, 'e': 0.8861145015425731}",25,0,-138.38637531232573,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
10,False,"{'a': 0.85, 'e': 0.8728227840194345}",30,0,-147.7223133206274,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 2}",0
11,False,"{'a': 0.85, 'e': 0.859730442259143}",20,0,-70.89065729057211,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.85, 'e': 0.8468344856252558}",20,3,-36.67004376242212,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
13,False,"{'a': 0.85, 'e': 0.834131968340877}",30,0,-152.39218080363023,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
14,False,"{'a': 0.85, 'e': 0.8216199888157638}",30,0,-198.1733585766304,"{0: 18, 1: 1, 2: 6, 3: 2, 4: 3}",0
15,False,"{'a': 0.85, 'e': 0.8092956889835273}",20,0,-88.04582099024262,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.85, 'e': 0.7971562536487744}",30,0,-200.34358709691094,"{0: 18, 1: 0, 2: 8, 3: 1, 4: 3}",0
17,False,"{'a': 0.85, 'e': 0.7851989098440427}",30,0,-177.81456537341245,"{0: 19, 1: 1, 2: 6, 3: 1, 4: 3}",0
18,False,"{'a': 0.85, 'e': 0.7734209261963821}",20,0,-58.425026279752544,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
19,False,"{'a': 0.85, 'e': 0.7618196123034364}",25,0,-57.005438704034894,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
20,False,"{'a': 0.85, 'e': 0.7503923181188848}",20,0,-143.78656471647722,"{0: 8, 1: 5, 2: 3, 3: 3, 4: 1}",0
21,False,"{'a': 0.85, 'e': 0.7391364333471016}",25,0,-92.71847956940115,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
22,False,"{'a': 0.85, 'e': 0.728049386846895}",20,0,-50.55797557308729,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
23,False,"{'a': 0.85, 'e': 0.7171286460441916}",25,0,-82.62393707653985,"{0: 14, 1: 2, 2: 9, 3: 0, 4: 0}",0
24,False,"{'a': 0.85, 'e': 0.7063717163535287}",25,0,-54.09428867398564,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
25,False,"{'a': 0.85, 'e': 0.6957761406082258}",20,0,-2.7019754441316897,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
26,False,"{'a': 0.85, 'e': 0.6853394984991024}",20,0,-71.62943778253816,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
27,False,"{'a': 0.85, 'e': 0.6750594060216158}",25,0,-101.12496017340347,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
28,False,"{'a': 0.85, 'e': 0.6649335149312916}",25,1,-107.62460763370532,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 2}",1
29,False,"{'a': 0.85, 'e': 0.6549595122073222}",20,0,-71.80820895164486,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
